         28691456 function calls (27889897 primitive calls) in 90.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    2.259    0.031 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\formatters.py:331(__call__)
        8    0.000    0.000    2.256    0.282 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\pylabtools.py:248(<lambda>)
        8    0.000    0.000    2.256    0.282 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\pylabtools.py:97(print_figure)
        8    0.001    0.000    2.256    0.282 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backend_bases.py:1967(print_figure)
        1    0.369    0.369    1.853    1.853 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:205(create_arrs)
        1    0.001    0.001    1.840    1.840 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:1047(plot_all)
       16    0.000    0.000    1.443    0.090 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
    70760    0.110    0.000    1.411    0.000 <__array_function__ internals>:2(where)
       16    0.000    0.000    1.273    0.080 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:382(draw)
  1656/16    0.009    0.000    1.268    0.079 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
       16    0.001    0.000    1.267    0.079 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\figure.py:1661(draw)
    32/16    0.001    0.000    1.254    0.078 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\image.py:117(_draw_list_compositing_images)
       16    0.001    0.000    1.254    0.078 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:2573(draw)
   862171    1.225    0.000    1.225    0.000 {built-in method numpy.array}
    69510    0.368    0.000    1.139    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
       32    0.002    0.000    1.121    0.035 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1195(draw)
      160    0.014    0.000    0.998    0.006 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1074(_update_ticks)
    68260    0.264    0.000    0.902    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:1036(yay_or_nay)
        2    0.009    0.005    0.848    0.424 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:959(density_plot)
      467    0.017    0.000    0.826    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:56(__init__)
        8    0.001    0.000    0.795    0.099 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\figure.py:2336(get_tightbbox)
    73906    0.697    0.000    0.697    0.000 {method 'remove' of 'list' objects}
   533343    0.308    0.000    0.664    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   716002    0.652    0.000    0.652    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
       48    0.002    0.000    0.632    0.013 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1154(get_tightbbox)
      320    0.002    0.000    0.615    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:2079(__call__)
      320    0.003    0.000    0.610    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:2083(tick_values)
      320    0.025    0.000    0.599    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:2019(_raw_ticks)
    72781    0.548    0.000    0.592    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:116(get_index_seq)
    69510    0.164    0.000    0.585    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\_dtype.py:319(_name_includes_bit_suffix)
   519546    0.340    0.000    0.562    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1327(<listcomp>)
153766/4336    0.272    0.000    0.549    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\copy.py:128(deepcopy)
       16    0.003    0.000    0.529    0.033 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:4304(get_tightbbox)
20680/4336    0.113    0.000    0.512    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\copy.py:200(_deepcopy_list)
  2863293    0.479    0.000    0.479    0.000 {built-in method builtins.len}
   779453    0.464    0.000    0.464    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      231    0.002    0.000    0.450    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2218(_get_tick)
     2522    0.034    0.000    0.448    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:65(printProgressBar)
    69518    0.155    0.000    0.422    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numerictypes.py:365(issubdtype)
     1406    0.052    0.000    0.408    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\lines.py:273(__init__)
     2000    0.375    0.000    0.401    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:139(get_neigh_indexes_from_known_point)
     2523    0.015    0.000    0.399    0.000 {built-in method builtins.print}
   347822    0.399    0.000    0.399    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1323    0.384    0.000    0.387    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:763(merge_objects)
     5046    0.028    0.000    0.385    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\ipykernel\iostream.py:384(write)
      236    0.002    0.000    0.380    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1928(_get_tick)
     5441    0.032    0.000    0.342    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\ipykernel\iostream.py:197(schedule)
     2522    0.013    0.000    0.339    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:882(get_obj_len)
  1897234    0.316    0.000    0.316    0.000 {method 'extend' of 'list' objects}
      160    0.001    0.000    0.314    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1322(get_majorticklocs)
      160    0.003    0.000    0.311    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1326(get_minorticklocs)
       34    0.000    0.000    0.293    0.009 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\pyplot.py:908(gca)
      208    0.003    0.000    0.293    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:289(draw)
     1400    0.016    0.000    0.287    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\text.py:852(get_window_extent)
   972516    0.285    0.000    0.285    0.000 {built-in method builtins.issubclass}
       34    0.000    0.000    0.285    0.008 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\figure.py:1888(gca)
        8    0.000    0.000    0.285    0.036 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\figure.py:1261(add_subplot)
        8    0.000    0.000    0.284    0.035 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
        8    0.001    0.000    0.280    0.035 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:421(__init__)
     2522    0.196    0.000    0.275    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:883(<listcomp>)
     5441    0.273    0.000    0.273    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\zmq\sugar\socket.py:342(send)
       40    0.001    0.000    0.271    0.007 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2299(_update_label_position)
   259773    0.270    0.000    0.270    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      160    0.004    0.000    0.268    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2488(get_tick_space)
   261407    0.263    0.000    0.263    0.000 {built-in method builtins.sorted}
      160    0.005    0.000    0.259    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2180(get_tick_space)
   346364    0.186    0.000    0.258    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
      160    0.001    0.000    0.257    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1147(_get_tick_bboxes)
       40    0.001    0.000    0.256    0.006 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2004(_update_label_position)
      160    0.003    0.000    0.254    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1149(<listcomp>)
   139036    0.172    0.000    0.251    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numerictypes.py:293(issubclass_)
       40    0.001    0.000    0.241    0.006 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:2280(_get_tick_boxes_siblings)
   754131    0.229    0.000    0.239    0.000 {built-in method builtins.isinstance}
        8    0.001    0.000    0.226    0.028 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:960(cla)
       40    0.001    0.000    0.226    0.006 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1985(_get_tick_boxes_siblings)
   871258    0.207    0.000    0.207    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\multiarray.py:707(dot)
      160    0.001    0.000    0.199    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1404(get_major_ticks)
      634    0.021    0.000    0.197    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\lines.py:751(draw)
     1333    0.023    0.000    0.194    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\text.py:270(_get_layout)
      528    0.015    0.000    0.192    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\text.py:655(draw)
  1062624    0.192    0.000    0.192    0.000 {method 'append' of 'list' objects}
   700663    0.183    0.000    0.183    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2087(_sum_dispatcher)
   750275    0.182    0.000    0.182    0.000 {method 'items' of 'dict' objects}
       78    0.001    0.000    0.177    0.002 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:862(set_tick_params)
     3219    0.024    0.000    0.176    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:942(update)
        2    0.000    0.000    0.175    0.088 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\pyplot.py:2631(hist)
   139059    0.174    0.000    0.174    0.000 {built-in method numpy.zeros}
       16    0.168    0.011    0.168    0.011 {built-in method matplotlib._png.write_png}
       23    0.000    0.000    0.161    0.007 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:2744(grid)
       46    0.000    0.000    0.161    0.003 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1432(grid)
    48/32    0.000    0.000    0.156    0.005 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:658(__get__)
        5    0.000    0.000    0.154    0.031 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\pyplot.py:2792(plot)
      990    0.011    0.000    0.149    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\text.py:121(__init__)
      302    0.005    0.000    0.129    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:697(union)
   519558    0.123    0.000    0.123    0.000 {built-in method _operator.index}
      231    0.002    0.000    0.117    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:558(_get_text2)
      864    0.025    0.000    0.115    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\lines.py:667(recache)
    72194    0.114    0.000    0.114    0.000 {method 'format' of 'str' objects}
     1286    0.005    0.000    0.113    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\text.py:170(update)
      726    0.112    0.000    0.112    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.010    0.010    0.111    0.111 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:89(__init__)
   259773    0.108    0.000    0.108    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1403(<listcomp>)
68960/56446    0.065    0.000    0.100    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:219(stale)
      484    0.004    0.000    0.099    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:193(get_text_width_height_descent)
    86597    0.099    0.000    0.099    0.000 {built-in method numpy.empty}
      236    0.003    0.000    0.096    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:484(_get_gridline)
     3829    0.005    0.000    0.096    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\contextlib.py:238(helper)
      231    0.003    0.000    0.094    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:602(_get_gridline)
      242    0.006    0.000    0.094    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:164(draw_text)
   346364    0.092    0.000    0.092    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\linalg\linalg.py:2312(_norm_dispatcher)
      228    0.001    0.000    0.092    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:269(get_tightbbox)
     1703    0.004    0.000    0.091    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\markers.py:223(__init__)
     3829    0.088    0.000    0.090    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\contextlib.py:82(__init__)
     1250    0.030    0.000    0.086    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      236    0.003    0.000    0.084    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:458(_get_tick1line)
   260635    0.084    0.000    0.084    0.000 {method 'insert' of 'list' objects}
      231    0.003    0.000    0.083    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:573(_get_tick1line)
     1512    0.006    0.000    0.083    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:1470(transform_point)
     1703    0.010    0.000    0.081    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\markers.py:292(set_marker)
     1694    0.008    0.000    0.080    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:1377(transform)
    86591    0.079    0.000    0.079    0.000 {built-in method numpy.promote_types}
      236    0.003    0.000    0.076    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:469(_get_tick2line)
      231    0.003    0.000    0.075    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:588(_get_tick2line)
    58843    0.055    0.000    0.073    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\__init__.py:811(__getitem__)
      320    0.002    0.000    0.070    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:680(set_locs)
   259773    0.070    0.000    0.070    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1336(_moveaxis_dispatcher)
    65792    0.069    0.000    0.069    0.000 {built-in method math.exp}
   261805    0.064    0.000    0.064    0.000 {method 'pop' of 'list' objects}
      156    0.003    0.000    0.063    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\patches.py:563(draw)
    69510    0.062    0.000    0.062    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\_dtype.py:36(_kind_name)
      472    0.001    0.000    0.061    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\lines.py:1021(get_path)
      564    0.002    0.000    0.060    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\patches.py:209(get_transform)
     3406    0.007    0.000    0.060    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\markers.py:245(_recache)
     1188    0.013    0.000    0.060    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\font_manager.py:620(__init__)
     2521    0.030    0.000    0.060    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:196(move_point)
      350    0.002    0.000    0.060    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:119(draw_path)
     4614    0.005    0.000    0.059    0.000 <__array_function__ internals>:2(amin)
     1694    0.004    0.000    0.058    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:2371(transform_affine)
      350    0.041    0.000    0.057    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      320    0.001    0.000    0.056    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:257(format_ticks)
      354    0.000    0.000    0.056    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\patches.py:757(get_patch_transform)
     3034    0.005    0.000    0.056    0.000 <__array_function__ internals>:2(any)
      354    0.004    0.000    0.055    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\patches.py:728(_update_patch_transform)
     4654    0.005    0.000    0.055    0.000 <__array_function__ internals>:2(amax)
       96    0.002    0.000    0.054    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\spines.py:147(get_window_extent)
2290/1800    0.013    0.000    0.051    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:2395(get_affine)
      5/3    0.000    0.000    0.051    0.017 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\__init__.py:1596(inner)
   310153    0.051    0.000    0.051    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.050    0.003 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:945(set_clip_path)
     2626    0.050    0.000    0.050    0.000 {method 'sort' of 'list' objects}
     7877    0.008    0.000    0.049    0.000 {built-in method builtins.next}
      150    0.001    0.000    0.048    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\patches.py:588(get_window_extent)
     4614    0.008    0.000    0.048    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2676(amin)
      236    0.003    0.000    0.048    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:425(_get_text1)
        2    0.000    0.000    0.048    0.024 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_axes.py:6441(hist)
      231    0.003    0.000    0.047    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:543(_get_text1)
     3034    0.006    0.000    0.047    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2236(any)
     2974    0.029    0.000    0.046    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:74(__init__)
      140    0.003    0.000    0.045    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:332(_apply_params)
     4654    0.007    0.000    0.044    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2551(amax)
     8135    0.044    0.000    0.044    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
     1388    0.007    0.000    0.042    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:1976(scale)
     2500    0.003    0.000    0.042    0.000 <__array_function__ internals>:2(prod)
        2    0.001    0.000    0.042    0.021 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_axes.py:2188(bar)
      236    0.002    0.000    0.042    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:442(_get_text2)
     3829    0.005    0.000    0.041    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\contextlib.py:108(__enter__)
      700    0.003    0.000    0.040    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:1064(set)
       48    0.003    0.000    0.040    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:2503(_update_title_position)
      726    0.004    0.000    0.040    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\backends\backend_agg.py:241(_get_agg_font)
     3074    0.016    0.000    0.040    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:726(__init__)
     2522    0.039    0.000    0.039    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:886(L50)
     1406    0.004    0.000    0.039    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\lines.py:1243(set_markerfacecolor)
     1850    0.003    0.000    0.038    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
      230    0.003    0.000    0.038    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\path.py:497(get_extents)
      320    0.011    0.000    0.038    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\ticker.py:767(_set_format)
    22376    0.029    0.000    0.037    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\copy.py:242(_keep_alive)
     2500    0.004    0.000    0.036    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2843(prod)
   214774    0.036    0.000    0.036    0.000 {built-in method builtins.id}
       99    0.001    0.000    0.035    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axis.py:1374(_copy_tick_props)
     6856    0.010    0.000    0.034    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
        1    0.000    0.000    0.033    0.033 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\pyplot.py:2671(imshow)
     1933    0.005    0.000    0.033    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:347(xmin)
      866    0.002    0.000    0.032    0.000 <__array_function__ internals>:2(broadcast_arrays)
      148    0.002    0.000    0.031    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\artist.py:709(set_clip_path)
      726    0.006    0.000    0.031    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
    35137    0.024    0.000    0.031    0.000 {built-in method builtins.getattr}
     2117    0.005    0.000    0.031    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\transforms.py:362(ymax)
       30    0.000    0.000    0.030    0.001 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\axes\_base.py:1964(add_patch)
